,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
240,washington,1978,-1.0,2.0,5.0,7.0,9.0,16.0,18.0,17.0,13.0,8.0,-1.0,-4.0
241,washington,1983,2.0,3.0,6.0,7.0,12.0,13.0,16.0,18.0,12.0,8.0,4.0,-6.0
242,washington,1988,-2.0,2.0,4.0,8.0,11.0,14.0,18.0,17.0,14.0,11.0,3.0,-1.0
243,washington,1993,-4.0,-2.0,4.0,7.0,14.0,14.0,14.0,17.0,14.0,10.0,0.0,0.0
244,washington,1998,0.0,3.0,5.0,8.0,11.0,14.0,21.0,19.0,17.0,8.0,4.0,-1.0
245,washington,2003,2.0,2.0,5.0,7.0,11.0,16.0,19.0,18.0,16.0,10.0,1.0,-1.0
246,washington,2008,-3.0,2.0,3.0,4.0,12.0,13.0,18.0,18.0,14.0,8.0,4.0,-3.0
247,washington,2013,-2.0,2.0,4.0,7.0,12.0,14.0,19.0,19.0,15.0,8.0,2.0,-2.0
248,washington,2018,2.0,0.0,3.0,7.0,14.0,14.0,19.0,19.0,13.0,8.0,3.0,1.0
249,washington,2023,1.0,0.0,2.0,6.0,14.0,16.0,19.0,19.0,14.0,9.0,,
250,wisconsin,1978,-14.0,-13.0,-3.0,5.0,13.0,17.0,19.0,19.0,16.0,7.0,-1.0,-10.0
251,wisconsin,1983,-8.0,-4.0,-1.0,4.0,9.0,18.0,22.0,22.0,15.0,8.0,1.0,-14.0
252,wisconsin,1988,-13.0,-11.0,-1.0,7.0,15.0,20.0,22.0,21.0,15.0,5.0,1.0,-8.0
253,wisconsin,1993,-9.0,-9.0,-2.0,4.0,12.0,16.0,19.0,19.0,11.0,7.0,-1.0,-6.0
254,wisconsin,1998,-7.0,-1.0,-1.0,8.0,16.0,17.0,21.0,20.0,17.0,9.0,3.0,-4.0
255,wisconsin,2003,-11.0,-11.0,-2.0,6.0,12.0,17.0,20.0,21.0,15.0,8.0,0.0,-4.0
256,wisconsin,2008,-10.0,-11.0,-4.0,6.0,11.0,18.0,21.0,19.0,16.0,8.0,1.0,-11.0
257,wisconsin,2013,-9.0,-8.0,-5.0,3.0,13.0,17.0,20.0,19.0,16.0,8.0,-1.0,-12.0
258,wisconsin,2018,-9.0,-9.0,-2.0,1.0,17.0,19.0,21.0,20.0,16.0,6.0,-3.0,-4.0
259,wisconsin,2023,-5.0,-6.0,-2.0,6.0,13.0,19.0,20.0,19.0,17.0,9.0,,
