name,long,lat
other,-115.123319,36.15670055
other,-115.1233191,36.15692981
other,-115.204436,36.14452382
other,-115.2045097,36.14452205
other,-115.2046491,36.14451979
other,-115.2047496,36.14450881
other,-115.2048151,36.14451302
other,-115.2048846,36.14451526
other,-115.2050871,36.14450955
other,-115.2051501,36.14451136
other,-115.2052433,36.14451524
other,-115.2052974,36.14450926
other,-115.205366,36.14451126
other,-115.2054462,36.14450331
other,-115.2055101,36.14450366
other,-115.2064762,36.14453703
other,-115.2065954,36.14453784
other,-115.1806977,36.14434084
other,-115.1808502,36.14433544
other,-115.1809218,36.14433905
other,-115.1810266,36.14433104
other,-115.1810996,36.14432894
other,-115.1812389,36.14432515
other,-115.1813402,36.1443288
other,-115.2285549,36.14417173
other,-115.2286549,36.1441571
other,-115.2287261,36.14416778
other,-115.2287962,36.14415388
other,-115.228864,36.14415234
other,-115.2289768,36.1441414
other,-115.2301066,36.14414546
other,-115.230171,36.14413979
other,-115.2303047,36.14413492
other,-115.2304047,36.14413046
other,-115.2305264,36.14412576
other,-115.2305918,36.14412473
other,-115.2306879,36.14412724
other,-115.2307664,36.14411818
other,-115.2353127,36.14407108
other,-115.241061,36.14412534
other,-115.2411291,36.14411615
other,-115.2449766,36.14410795
other,-115.2455371,36.14410334
other,-115.2456187,36.14410685
other,-115.2456886,36.14410346
other,-115.2457559,36.14409859
other,-115.2459309,36.14409372
other,-115.1784536,36.1443391
other,-115.178582,36.14433797
other,-115.1786674,36.144332
other,-115.1787553,36.14432799
other,-115.1788388,36.14432945
other,-115.1789433,36.14432882
other,-115.1790114,36.14432548
other,-115.1790761,36.14432183
other,-115.1791634,36.14431939
other,-115.1793255,36.14431445
other,-115.1801947,36.14435088
other,-115.1802673,36.14434998
other,-115.1803472,36.1443503
other,-115.1804551,36.14434824
other,-115.180542,36.14434277
other,-115.1806215,36.14434182
other,-115.2308676,36.14411948
other,-115.2309624,36.14410547
other,-115.2311161,36.14409675
other,-115.2311857,36.14409109
other,-115.2322316,36.14410106
other,-115.2322981,36.14409329
other,-115.232458,36.14409335
other,-115.2351588,36.14408605
other,-115.2352349,36.14407594
other,-115.1761951,36.14431483
other,-115.1763312,36.14429612
other,-115.176396,36.14429339
other,-115.178056,36.14433463
other,-115.1782071,36.14433788
other,-115.1782669,36.1443373
other,-115.1783828,36.14433886
other,-115.2460096,36.14409453
other,-115.2460746,36.14409203
other,-115.1740413,36.14433921
other,-115.2461371,36.14408595
other,-115.2462176,36.1440814
other,-115.2463426,36.1440598
other,-115.2464541,36.1440445
other,-115.2465582,36.14404271
other,-115.2466365,36.14403965
other,-115.2468449,36.14403845
other,-115.2479412,36.1440352
other,-115.2480124,36.14403058
other,-115.2481677,36.14402901
other,-115.2482908,36.14402644
other,-115.2484211,36.14402418
other,-115.2485021,36.1440129
other,-115.2486136,36.14399736
other,-115.2487183,36.14398616
