,state,long,lat
150,nevada,-115.1052257,36.1805836
151,nevada,-115.1052584,36.180181
152,nevada,-115.1051203,36.17832507
153,nevada,-115.1051791,36.17893722
154,nevada,-115.1057345,36.17861376
155,nevada,-115.106414,36.1786565
156,nevada,-115.1065856,36.1788797
157,nevada,-115.1065159,36.1789611
158,nevada,-115.10679,36.1792639
159,nevada,-115.106792,36.17972
160,nevada,-115.106557,36.179111
161,nevada,-115.103413,36.179403
162,nevada,-115.1035682,36.1777063
163,nevada,-115.1036887,36.1780701
164,nevada,-115.1037462,36.1785849
165,nevada,-115.1012548,36.17996173
166,nevada,-115.1006222,36.18033475
167,nevada,-115.1006161,36.18051843
168,nevada,-115.1017048,36.18035014
169,nevada,-115.1006471,36.18026103
170,nevada,-115.1001524,36.18076952
171,nevada,-115.1004502,36.1807867
172,nevada,-115.100584,36.18078096
173,nevada,-115.1008652,36.18080119
174,nevada,-115.101065,36.18019301
175,nevada,-115.100934,36.18004014
176,nevada,-115.10298,36.180661
177,nevada,-115.1021824,36.1799776
178,nevada,-115.10148,36.179804
179,nevada,-115.101047,36.179798
180,nevada,-115.1016412,36.1798069
181,nevada,-115.101236,36.180529
182,nevada,-115.101105,36.180331
183,nevada,-115.103018,36.179806
184,nevada,-115.10127,36.179856
185,nevada,-115.101367,36.179798
186,nevada,-115.100977,36.179792
187,nevada,-115.0984809,36.18013525
188,nevada,-115.0985832,36.1807469
189,nevada,-115.0986223,36.18074726
190,nevada,-115.0986748,36.18074934
191,nevada,-115.0989101,36.18075129
192,nevada,-115.099197,36.180727
193,nevada,-115.123319,36.15670055
194,nevada,-115.1233191,36.15692981
195,nevada,-115.204436,36.14452382
196,nevada,-115.2045097,36.14452205
197,nevada,-115.2046491,36.14451979
198,nevada,-115.2047496,36.14450881
199,nevada,-115.2048151,36.14451302
200,nevada,-115.2048846,36.14451526
201,nevada,-115.2050871,36.14450955
202,nevada,-115.2051501,36.14451136
203,nevada,-115.2052433,36.14451524
204,nevada,-115.2052974,36.14450926
205,nevada,-115.205366,36.14451126
206,nevada,-115.2054462,36.14450331
207,nevada,-115.2055101,36.14450366
208,nevada,-115.2064762,36.14453703
209,nevada,-115.2065954,36.14453784
210,nevada,-115.1806977,36.14434084
211,nevada,-115.1808502,36.14433544
212,nevada,-115.1809218,36.14433905
213,nevada,-115.1810266,36.14433104
214,nevada,-115.1810996,36.14432894
215,nevada,-115.1812389,36.14432515
216,nevada,-115.1813402,36.1443288
217,nevada,-115.2285549,36.14417173
218,nevada,-115.2286549,36.1441571
219,nevada,-115.2287261,36.14416778
220,nevada,-115.2287962,36.14415388
221,nevada,-115.228864,36.14415234
222,nevada,-115.2289768,36.1441414
223,nevada,-115.2301066,36.14414546
224,nevada,-115.230171,36.14413979
225,nevada,-115.2303047,36.14413492
226,nevada,-115.2304047,36.14413046
227,nevada,-115.2305264,36.14412576
228,nevada,-115.2305918,36.14412473
229,nevada,-115.2306879,36.14412724
230,nevada,-115.2307664,36.14411818
231,nevada,-115.2353127,36.14407108
232,nevada,-115.241061,36.14412534
233,nevada,-115.2411291,36.14411615
234,nevada,-115.2449766,36.14410795
235,nevada,-115.2455371,36.14410334
236,nevada,-115.2456187,36.14410685
237,nevada,-115.2456886,36.14410346
238,nevada,-115.2457559,36.14409859
239,nevada,-115.2459309,36.14409372
240,nevada,-115.1784536,36.1443391
241,nevada,-115.178582,36.14433797
242,nevada,-115.1786674,36.144332
243,nevada,-115.1787553,36.14432799
244,nevada,-115.1788388,36.14432945
245,nevada,-115.1789433,36.14432882
246,nevada,-115.1790114,36.14432548
247,nevada,-115.1790761,36.14432183
248,nevada,-115.1791634,36.14431939
249,nevada,-115.1793255,36.14431445
250,nevada,-115.1801947,36.14435088
251,nevada,-115.1802673,36.14434998
252,nevada,-115.1803472,36.1443503
253,nevada,-115.1804551,36.14434824
254,nevada,-115.180542,36.14434277
255,nevada,-115.1806215,36.14434182
256,nevada,-115.2308676,36.14411948
257,nevada,-115.2309624,36.14410547
258,nevada,-115.2311161,36.14409675
259,nevada,-115.2311857,36.14409109
260,nevada,-115.2322316,36.14410106
261,nevada,-115.2322981,36.14409329
262,nevada,-115.232458,36.14409335
263,nevada,-115.2351588,36.14408605
264,nevada,-115.2352349,36.14407594
265,nevada,-115.1761951,36.14431483
266,nevada,-115.1763312,36.14429612
267,nevada,-115.176396,36.14429339
268,nevada,-115.178056,36.14433463
269,nevada,-115.1782071,36.14433788
270,nevada,-115.1782669,36.1443373
271,nevada,-115.1783828,36.14433886
272,nevada,-115.2460096,36.14409453
273,nevada,-115.2460746,36.14409203
274,nevada,-115.1740413,36.14433921
275,nevada,-115.2461371,36.14408595
276,nevada,-115.2462176,36.1440814
277,nevada,-115.2463426,36.1440598
278,nevada,-115.2464541,36.1440445
279,nevada,-115.2465582,36.14404271
280,nevada,-115.2466365,36.14403965
281,nevada,-115.2468449,36.14403845
282,nevada,-115.2479412,36.1440352
283,nevada,-115.2480124,36.14403058
284,nevada,-115.2481677,36.14402901
285,nevada,-115.2482908,36.14402644
286,nevada,-115.2484211,36.14402418
287,nevada,-115.2485021,36.1440129
288,nevada,-115.2486136,36.14399736
289,nevada,-115.2487183,36.14398616
290,nevada,-115.248789,36.14398502
291,nevada,-115.2488494,36.14397727
292,nevada,-115.2489281,36.14397615
293,nevada,-115.2490934,36.14397406
294,nevada,-115.2503743,36.14396788
295,nevada,-115.2505143,36.14396566
