,name,long,lat
169,other,-115.1006471,36.18026103
170,other,-115.1001524,36.18076952
171,other,-115.1004502,36.1807867
172,other,-115.100584,36.18078096
173,other,-115.1008652,36.18080119
174,other,-115.101065,36.18019301
175,other,-115.100934,36.18004014
176,other,-115.10298,36.180661
177,other,-115.1021824,36.1799776
178,other,-115.10148,36.179804
179,other,-115.101047,36.179798
180,other,-115.1016412,36.1798069
181,other,-115.101236,36.180529
182,other,-115.101105,36.180331
183,other,-115.103018,36.179806
184,other,-115.10127,36.179856
185,other,-115.101367,36.179798
186,other,-115.100977,36.179792
187,other,-115.0984809,36.18013525
188,other,-115.0985832,36.1807469
189,other,-115.0986223,36.18074726
190,other,-115.0986748,36.18074934
191,other,-115.0989101,36.18075129
192,other,-115.099197,36.180727
193,other,-115.123319,36.15670055
194,other,-115.1233191,36.15692981
195,other,-115.204436,36.14452382
196,other,-115.2045097,36.14452205
197,other,-115.2046491,36.14451979
198,other,-115.2047496,36.14450881
199,other,-115.2048151,36.14451302
200,other,-115.2048846,36.14451526
201,other,-115.2050871,36.14450955
202,other,-115.2051501,36.14451136
203,other,-115.2052433,36.14451524
204,other,-115.2052974,36.14450926
205,other,-115.205366,36.14451126
206,other,-115.2054462,36.14450331
207,other,-115.2055101,36.14450366
208,other,-115.2064762,36.14453703
209,other,-115.2065954,36.14453784
210,other,-115.1806977,36.14434084
211,other,-115.1808502,36.14433544
212,other,-115.1809218,36.14433905
213,other,-115.1810266,36.14433104
214,other,-115.1810996,36.14432894
215,other,-115.1812389,36.14432515
216,other,-115.1813402,36.1443288
217,other,-115.2285549,36.14417173
218,other,-115.2286549,36.1441571
219,other,-115.2287261,36.14416778
220,other,-115.2287962,36.14415388
221,other,-115.228864,36.14415234
222,other,-115.2289768,36.1441414
223,other,-115.2301066,36.14414546
224,other,-115.230171,36.14413979
225,other,-115.2303047,36.14413492
226,other,-115.2304047,36.14413046
227,other,-115.2305264,36.14412576
228,other,-115.2305918,36.14412473
229,other,-115.2306879,36.14412724
230,other,-115.2307664,36.14411818
231,other,-115.2353127,36.14407108
232,other,-115.241061,36.14412534
233,other,-115.2411291,36.14411615
234,other,-115.2449766,36.14410795
235,other,-115.2455371,36.14410334
236,other,-115.2456187,36.14410685
237,other,-115.2456886,36.14410346
238,other,-115.2457559,36.14409859
239,other,-115.2459309,36.14409372
240,other,-115.1784536,36.1443391
241,other,-115.178582,36.14433797
242,other,-115.1786674,36.144332
243,other,-115.1787553,36.14432799
244,other,-115.1788388,36.14432945
245,other,-115.1789433,36.14432882
246,other,-115.1790114,36.14432548
247,other,-115.1790761,36.14432183
248,other,-115.1791634,36.14431939
249,other,-115.1793255,36.14431445
250,other,-115.1801947,36.14435088
