,state,year,condition,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
6114,louisiana,1998,min ,7.0,6.0,8.0,12.0,19.0,23.0,23.0,23.0,22.0,15.0,11.0,7.0
6115,louisiana,1998,max ,17.0,17.0,20.0,24.0,31.0,34.0,35.0,34.0,32.0,27.0,21.0,17.0
6116,louisiana,1998,mean ,12.0,12.0,14.0,18.0,24.0,28.0,29.0,28.0,27.0,21.0,16.0,12.0
6129,louisiana,2003,min ,1.0,5.0,9.0,13.0,19.0,21.0,22.0,22.0,18.0,13.0,10.0,3.0
6130,louisiana,2003,max ,13.0,15.0,21.0,26.0,30.0,31.0,32.0,33.0,30.0,26.0,23.0,16.0
6131,louisiana,2003,mean ,7.0,10.0,14.0,19.0,24.0,26.0,27.0,28.0,24.0,19.0,16.0,9.0
6144,louisiana,2008,min ,3.0,6.0,9.0,13.0,17.0,22.0,22.0,22.0,19.0,12.0,7.0,5.0
6145,louisiana,2008,max ,14.0,19.0,22.0,25.0,28.0,33.0,34.0,32.0,29.0,26.0,21.0,17.0
6146,louisiana,2008,mean ,9.0,13.0,16.0,19.0,23.0,27.0,28.0,27.0,24.0,18.0,13.0,11.0
6159,louisiana,2013,min ,6.0,7.0,6.0,12.0,16.0,22.0,22.0,22.0,20.0,14.0,7.0,4.0
6160,louisiana,2013,max ,16.0,18.0,19.0,24.0,27.0,32.0,32.0,33.0,32.0,26.0,18.0,15.0
6161,louisiana,2013,mean ,11.0,12.0,13.0,18.0,22.0,27.0,27.0,28.0,26.0,20.0,13.0,9.0
6174,louisiana,2018,min ,1.0,11.0,11.0,10.0,19.0,22.0,23.0,22.0,22.0,16.0,7.0,6.0
6175,louisiana,2018,max ,13.0,21.0,23.0,23.0,31.0,33.0,34.0,33.0,31.0,27.0,18.0,16.0
6176,louisiana,2018,mean ,7.0,16.0,17.0,17.0,25.0,28.0,28.0,28.0,27.0,21.0,12.0,11.0
6189,louisiana,2023,min ,8.0,9.0,12.0,13.0,18.0,22.0,23.0,24.0,21.0,14.0,,
6190,louisiana,2023,max ,18.0,20.0,23.0,24.0,29.0,33.0,35.0,37.0,33.0,27.0,,
6191,louisiana,2023,mean ,13.0,14.0,17.0,19.0,23.0,28.0,29.0,31.0,27.0,21.0,,
6828,maryland,1978,min ,-7.0,-9.0,-2.0,4.0,10.0,15.0,17.0,19.0,13.0,5.0,3.0,-3.0
6829,maryland,1978,max ,2.0,1.0,9.0,17.0,21.0,27.0,28.0,29.0,26.0,19.0,13.0,9.0
6830,maryland,1978,mean ,-3.0,-4.0,4.0,11.0,16.0,21.0,23.0,24.0,19.0,12.0,8.0,3.0
6843,maryland,1983,min ,-3.0,-4.0,2.0,4.0,9.0,15.0,18.0,18.0,13.0,8.0,2.0,-4.0
6844,maryland,1983,max ,5.0,6.0,12.0,15.0,22.0,27.0,31.0,31.0,27.0,19.0,13.0,4.0
6845,maryland,1983,mean ,1.0,1.0,7.0,10.0,16.0,21.0,24.0,24.0,19.0,13.0,8.0,0.0
6858,maryland,1988,min ,-8.0,-4.0,0.0,4.0,11.0,14.0,19.0,19.0,12.0,4.0,2.0,-4.0
6859,maryland,1988,max ,3.0,7.0,13.0,16.0,23.0,28.0,32.0,31.0,24.0,16.0,13.0,7.0
6860,maryland,1988,mean ,-3.0,1.0,6.0,11.0,17.0,22.0,26.0,25.0,18.0,10.0,8.0,2.0
6873,maryland,1993,min ,-2.0,-6.0,-1.0,4.0,11.0,15.0,19.0,18.0,14.0,6.0,2.0,-3.0
6874,maryland,1993,max ,7.0,4.0,8.0,17.0,24.0,28.0,32.0,30.0,25.0,18.0,13.0,6.0
6875,maryland,1993,mean ,2.0,-1.0,4.0,11.0,18.0,22.0,26.0,24.0,19.0,12.0,7.0,1.0
6888,maryland,1998,min ,0.0,0.0,2.0,6.0,13.0,16.0,18.0,18.0,15.0,8.0,2.0,0.0
6889,maryland,1998,max ,9.0,9.0,12.0,19.0,24.0,27.0,30.0,30.0,28.0,19.0,14.0,11.0
6890,maryland,1998,mean ,4.0,4.0,7.0,13.0,18.0,21.0,24.0,24.0,22.0,14.0,8.0,5.0
6903,maryland,2003,min ,-6.0,-5.0,1.0,5.0,11.0,16.0,19.0,19.0,14.0,6.0,4.0,-2.0
6904,maryland,2003,max ,2.0,3.0,13.0,17.0,20.0,26.0,29.0,29.0,24.0,18.0,16.0,7.0
6905,maryland,2003,mean ,-2.0,-1.0,7.0,11.0,15.0,21.0,24.0,24.0,19.0,12.0,10.0,2.0
6918,maryland,2008,min ,-3.0,-3.0,1.0,7.0,9.0,17.0,18.0,16.0,14.0,6.0,2.0,-2.0
6919,maryland,2008,max ,7.0,8.0,13.0,19.0,22.0,29.0,30.0,28.0,26.0,19.0,11.0,8.0
6920,maryland,2008,mean ,2.0,3.0,7.0,13.0,16.0,23.0,24.0,22.0,20.0,13.0,7.0,3.0
6933,maryland,2013,min ,-3.0,-3.0,-1.0,6.0,11.0,17.0,21.0,17.0,12.0,9.0,1.0,-2.0
6934,maryland,2013,max ,7.0,6.0,9.0,18.0,23.0,28.0,30.0,27.0,25.0,20.0,12.0,8.0
6935,maryland,2013,mean ,2.0,1.0,4.0,12.0,17.0,22.0,25.0,22.0,19.0,14.0,6.0,3.0
6948,maryland,2018,min ,-6.0,0.0,-1.0,4.0,14.0,17.0,19.0,20.0,18.0,9.0,2.0,-1.0
6949,maryland,2018,max ,4.0,10.0,9.0,16.0,26.0,27.0,30.0,30.0,26.0,20.0,11.0,8.0
6950,maryland,2018,mean ,-1.0,5.0,4.0,10.0,20.0,22.0,24.0,25.0,22.0,15.0,6.0,4.0
6963,maryland,2023,min ,1.0,0.0,1.0,7.0,9.0,14.0,20.0,18.0,15.0,9.0,,
6964,maryland,2023,max ,10.0,12.0,13.0,21.0,22.0,27.0,31.0,29.0,26.0,21.0,,
6965,maryland,2023,mean ,6.0,6.0,7.0,14.0,16.0,21.0,26.0,24.0,21.0,15.0,,
7215,massachusetts,1978,min ,-10.0,-13.0,-7.0,0.0,7.0,11.0,14.0,15.0,7.0,2.0,-2.0,-7.0
7216,massachusetts,1978,max ,-1.0,-1.0,5.0,12.0,19.0,24.0,27.0,26.0,21.0,15.0,9.0,3.0
7217,massachusetts,1978,mean ,-6.0,-7.0,-1.0,6.0,13.0,18.0,20.0,20.0,14.0,9.0,4.0,-2.0
7230,massachusetts,1983,min ,-8.0,-8.0,-2.0,2.0,7.0,12.0,15.0,14.0,10.0,4.0,0.0,-8.0
7231,massachusetts,1983,max ,1.0,3.0,7.0,13.0,18.0,26.0,28.0,27.0,24.0,16.0,10.0,2.0
7232,massachusetts,1983,mean ,-3.0,-2.0,3.0,7.0,12.0,19.0,22.0,21.0,17.0,10.0,5.0,-3.0
7245,massachusetts,1988,min ,-12.0,-9.0,-4.0,2.0,7.0,11.0,16.0,16.0,8.0,2.0,-1.0,-8.0
7246,massachusetts,1988,max ,0.0,3.0,8.0,12.0,19.0,24.0,28.0,28.0,22.0,13.0,11.0,3.0
7247,massachusetts,1988,mean ,-6.0,-3.0,2.0,7.0,13.0,18.0,22.0,22.0,15.0,8.0,5.0,-3.0
7260,massachusetts,1993,min ,-7.0,-12.0,-6.0,2.0,7.0,12.0,14.0,14.0,11.0,3.0,-2.0,-6.0
7261,massachusetts,1993,max ,2.0,-1.0,5.0,13.0,21.0,24.0,28.0,27.0,21.0,14.0,10.0,3.0
7262,massachusetts,1993,mean ,-3.0,-7.0,-1.0,7.0,14.0,18.0,21.0,21.0,16.0,8.0,4.0,-2.0
7275,massachusetts,1998,min ,-5.0,-4.0,-2.0,2.0,9.0,13.0,15.0,15.0,11.0,5.0,-1.0,-3.0
7276,massachusetts,1998,max ,3.0,6.0,8.0,14.0,22.0,23.0,27.0,27.0,23.0,16.0,9.0,7.0
7277,massachusetts,1998,mean ,-1.0,1.0,3.0,8.0,15.0,18.0,21.0,21.0,17.0,11.0,4.0,2.0
7290,massachusetts,2003,min ,-12.0,-11.0,-6.0,0.0,7.0,12.0,16.0,17.0,11.0,3.0,1.0,-6.0
7291,massachusetts,2003,max ,-3.0,-1.0,8.0,12.0,18.0,23.0,27.0,27.0,22.0,15.0,11.0,4.0
7292,massachusetts,2003,mean ,-7.0,-6.0,1.0,6.0,12.0,18.0,22.0,22.0,17.0,9.0,6.0,-1.0
7305,massachusetts,2008,min ,-8.0,-7.0,-4.0,2.0,6.0,13.0,17.0,13.0,11.0,3.0,-1.0,-6.0
7306,massachusetts,2008,max ,3.0,3.0,7.0,16.0,18.0,25.0,28.0,25.0,22.0,16.0,9.0,4.0
7307,massachusetts,2008,mean ,-2.0,-2.0,1.0,8.0,12.0,19.0,22.0,19.0,17.0,9.0,4.0,-1.0
7320,massachusetts,2013,min ,-8.0,-7.0,-3.0,1.0,7.0,13.0,18.0,14.0,9.0,4.0,-2.0,-6.0
7321,massachusetts,2013,max ,2.0,2.0,6.0,14.0,21.0,25.0,29.0,26.0,22.0,17.0,9.0,3.0
7322,massachusetts,2013,mean ,-3.0,-2.0,1.0,8.0,14.0,19.0,24.0,20.0,16.0,11.0,3.0,-2.0
7335,massachusetts,2018,min ,-9.0,-4.0,-3.0,0.0,9.0,12.0,17.0,18.0,13.0,5.0,-1.0,-5.0
7336,massachusetts,2018,max ,1.0,6.0,6.0,11.0,22.0,24.0,29.0,28.0,23.0,15.0,7.0,4.0
7337,massachusetts,2018,mean ,-4.0,1.0,1.0,6.0,16.0,18.0,23.0,23.0,18.0,10.0,3.0,0.0
7350,massachusetts,2023,min ,-2.0,-6.0,-2.0,3.0,6.0,12.0,18.0,15.0,13.0,8.0,,
7351,massachusetts,2023,max ,6.0,6.0,8.0,16.0,21.0,23.0,28.0,26.0,23.0,18.0,,
7352,massachusetts,2023,mean ,2.0,0.0,3.0,9.0,13.0,18.0,23.0,20.0,18.0,13.0,,
7602,michigan,1978,min ,-14.0,-17.0,-10.0,-2.0,6.0,9.0,12.0,13.0,9.0,2.0,-3.0,-10.0
7603,michigan,1978,max ,-6.0,-5.0,2.0,10.0,20.0,24.0,26.0,26.0,22.0,13.0,7.0,-2.0
7604,michigan,1978,mean ,-9.0,-11.0,-4.0,4.0,13.0,17.0,19.0,19.0,16.0,8.0,2.0,-6.0
7617,michigan,1983,min ,-9.0,-7.0,-4.0,-1.0,3.0,11.0,16.0,14.0,9.0,3.0,-2.0,-13.0
7618,michigan,1983,max ,-2.0,1.0,5.0,9.0,16.0,24.0,29.0,27.0,22.0,14.0,7.0,-6.0
7619,michigan,1983,mean ,-6.0,-3.0,0.0,4.0,9.0,17.0,22.0,21.0,16.0,8.0,2.0,-9.0
7632,michigan,1988,min ,-13.0,-14.0,-7.0,-1.0,6.0,10.0,14.0,14.0,8.0,1.0,-1.0,-9.0
7633,michigan,1988,max ,-3.0,-3.0,4.0,12.0,22.0,27.0,29.0,27.0,21.0,11.0,6.0,-1.0
7634,michigan,1988,mean ,-8.0,-8.0,-2.0,6.0,14.0,18.0,22.0,21.0,14.0,6.0,3.0,-5.0
7647,michigan,1993,min ,-11.0,-13.0,-7.0,-1.0,6.0,10.0,14.0,14.0,7.0,1.0,-3.0,-8.0
7648,michigan,1993,max ,-2.0,-3.0,3.0,10.0,18.0,22.0,26.0,26.0,17.0,12.0,5.0,-1.0
7649,michigan,1993,mean ,-6.0,-8.0,-2.0,4.0,12.0,16.0,21.0,20.0,12.0,7.0,1.0,-4.0
7662,michigan,1998,min ,-8.0,-4.0,-4.0,1.0,8.0,11.0,13.0,14.0,10.0,4.0,0.0,-6.0
7663,michigan,1998,max ,-1.0,4.0,5.0,14.0,23.0,24.0,27.0,27.0,24.0,16.0,8.0,3.0
7664,michigan,1998,mean ,-4.0,0.0,0.0,7.0,16.0,17.0,20.0,21.0,17.0,10.0,4.0,-2.0
7677,michigan,2003,min ,-13.0,-14.0,-8.0,-2.0,5.0,9.0,13.0,14.0,9.0,2.0,-1.0,-6.0
7678,michigan,2003,max ,-4.0,-4.0,4.0,12.0,18.0,23.0,26.0,27.0,21.0,13.0,7.0,2.0
7679,michigan,2003,mean ,-9.0,-9.0,-2.0,5.0,11.0,17.0,19.0,20.0,15.0,8.0,3.0,-2.0
7692,michigan,2008,min ,-9.0,-13.0,-8.0,1.0,3.0,12.0,14.0,12.0,9.0,2.0,-2.0,-11.0
7693,michigan,2008,max ,-1.0,-3.0,2.0,14.0,17.0,24.0,26.0,26.0,22.0,13.0,6.0,-2.0
7694,michigan,2008,mean ,-6.0,-8.0,-3.0,7.0,11.0,18.0,20.0,19.0,16.0,8.0,2.0,-7.0
7707,michigan,2013,min ,-9.0,-11.0,-7.0,-1.0,6.0,11.0,14.0,13.0,8.0,4.0,-3.0,-11.0
7708,michigan,2013,max ,-1.0,-2.0,2.0,9.0,21.0,24.0,26.0,26.0,22.0,14.0,5.0,-3.0
7709,michigan,2013,mean ,-5.0,-7.0,-3.0,4.0,13.0,17.0,20.0,19.0,15.0,9.0,1.0,-7.0
7722,michigan,2018,min ,-11.0,-10.0,-7.0,-4.0,8.0,12.0,14.0,15.0,11.0,3.0,-4.0,-6.0
7723,michigan,2018,max ,-3.0,-1.0,3.0,7.0,23.0,24.0,28.0,27.0,22.0,12.0,2.0,1.0
7724,michigan,2018,mean ,-7.0,-5.0,-2.0,2.0,16.0,18.0,21.0,21.0,17.0,7.0,-1.0,-2.0
7737,michigan,2023,min ,-5.0,-8.0,-6.0,1.0,5.0,11.0,14.0,12.0,11.0,6.0,,
7738,michigan,2023,max ,0.0,2.0,4.0,13.0,20.0,25.0,26.0,24.0,22.0,14.0,,
7739,michigan,2023,mean ,-2.0,-3.0,-1.0,7.0,13.0,18.0,20.0,18.0,17.0,10.0,,
8763,missouri,1978,min ,-12.0,-11.0,-3.0,7.0,11.0,16.0,19.0,17.0,15.0,4.0,2.0,-6.0
8764,missouri,1978,max ,-2.0,-1.0,9.0,19.0,23.0,29.0,32.0,31.0,29.0,21.0,13.0,6.0
8765,missouri,1978,mean ,-7.0,-6.0,3.0,13.0,17.0,23.0,26.0,24.0,22.0,12.0,7.0,0.0
8778,missouri,1983,min ,-4.0,-3.0,1.0,3.0,9.0,16.0,19.0,20.0,13.0,8.0,3.0,-12.0
8779,missouri,1983,max ,4.0,8.0,12.0,14.0,22.0,28.0,33.0,35.0,28.0,20.0,13.0,-3.0
8780,missouri,1983,mean ,-1.0,3.0,6.0,9.0,16.0,22.0,26.0,27.0,21.0,14.0,8.0,-8.0
8793,missouri,1988,min ,-8.0,-8.0,-1.0,4.0,11.0,16.0,19.0,19.0,13.0,4.0,1.0,-5.0
8794,missouri,1988,max ,3.0,5.0,13.0,20.0,26.0,32.0,31.0,32.0,27.0,17.0,14.0,8.0
8795,missouri,1988,mean ,-3.0,-1.0,7.0,12.0,19.0,24.0,25.0,26.0,20.0,11.0,7.0,2.0
8808,missouri,1993,min ,-6.0,-6.0,-1.0,5.0,11.0,16.0,20.0,19.0,11.0,6.0,-1.0,-3.0
8809,missouri,1993,max ,3.0,4.0,10.0,16.0,23.0,28.0,31.0,31.0,23.0,18.0,9.0,7.0
8810,missouri,1993,mean ,-2.0,-1.0,4.0,11.0,17.0,22.0,26.0,25.0,17.0,12.0,4.0,2.0
8823,missouri,1998,min ,-3.0,1.0,0.0,6.0,14.0,17.0,20.0,19.0,17.0,8.0,3.0,-3.0
8824,missouri,1998,max ,6.0,9.0,9.0,18.0,27.0,29.0,31.0,31.0,29.0,21.0,14.0,8.0
8825,missouri,1998,mean ,2.0,5.0,5.0,12.0,21.0,23.0,26.0,24.0,23.0,14.0,9.0,2.0
8838,missouri,2003,min ,-8.0,-6.0,0.0,7.0,11.0,14.0,19.0,19.0,12.0,7.0,2.0,-3.0
8839,missouri,2003,max ,3.0,4.0,13.0,20.0,23.0,27.0,32.0,32.0,24.0,21.0,13.0,7.0
8840,missouri,2003,mean ,-3.0,-1.0,7.0,13.0,17.0,21.0,26.0,26.0,18.0,14.0,8.0,2.0
8853,missouri,2008,min ,-7.0,-6.0,-1.0,5.0,11.0,17.0,19.0,17.0,13.0,6.0,1.0,-7.0
8854,missouri,2008,max ,5.0,4.0,12.0,17.0,23.0,28.0,30.0,29.0,25.0,19.0,12.0,5.0
8855,missouri,2008,mean ,-1.0,-1.0,6.0,11.0,17.0,23.0,24.0,23.0,19.0,13.0,6.0,-1.0
8868,missouri,2013,min ,-5.0,-4.0,-2.0,4.0,11.0,17.0,18.0,18.0,14.0,7.0,-1.0,-7.0
8869,missouri,2013,max ,7.0,7.0,8.0,17.0,23.0,28.0,29.0,29.0,28.0,19.0,11.0,4.0
8870,missouri,2013,mean ,1.0,1.0,3.0,11.0,17.0,23.0,24.0,23.0,21.0,13.0,5.0,-1.0
8883,missouri,2018,min ,-8.0,-4.0,1.0,2.0,16.0,19.0,19.0,18.0,16.0,7.0,-2.0,-2.0
8884,missouri,2018,max ,3.0,8.0,12.0,16.0,29.0,31.0,32.0,31.0,27.0,19.0,8.0,7.0
8885,missouri,2018,mean ,-2.0,2.0,7.0,9.0,22.0,25.0,26.0,24.0,22.0,13.0,3.0,2.0
8898,missouri,2023,min ,-2.0,-2.0,1.0,6.0,12.0,16.0,19.0,19.0,14.0,8.0,,
8899,missouri,2023,max ,8.0,11.0,12.0,21.0,26.0,30.0,32.0,30.0,28.0,21.0,,
8900,missouri,2023,mean ,3.0,4.0,6.0,13.0,19.0,23.0,25.0,24.0,21.0,14.0,,
9924,nevada,1978,min ,-4.0,-3.0,1.0,1.0,3.0,8.0,12.0,11.0,7.0,3.0,-4.0,-9.0
9925,nevada,1978,max ,6.0,7.0,13.0,13.0,19.0,26.0,31.0,30.0,23.0,21.0,8.0,3.0
9926,nevada,1978,mean ,1.0,2.0,7.0,7.0,11.0,17.0,22.0,21.0,14.0,12.0,2.0,-3.0
9939,nevada,1983,min ,-4.0,-3.0,-1.0,-1.0,4.0,9.0,11.0,13.0,9.0,4.0,-2.0,-4.0
9940,nevada,1983,max ,6.0,7.0,9.0,11.0,19.0,25.0,29.0,28.0,26.0,18.0,9.0,5.0
9941,nevada,1983,mean ,1.0,2.0,4.0,5.0,12.0,17.0,20.0,21.0,17.0,11.0,4.0,1.0
9954,nevada,1988,min ,-8.0,-5.0,-3.0,2.0,4.0,11.0,14.0,13.0,7.0,5.0,-2.0,-8.0
9955,nevada,1988,max ,3.0,9.0,12.0,16.0,21.0,27.0,33.0,31.0,25.0,23.0,9.0,4.0
9956,nevada,1988,mean ,-3.0,2.0,4.0,9.0,12.0,19.0,24.0,22.0,16.0,14.0,4.0,-2.0
9969,nevada,1993,min ,-8.0,-6.0,1.0,1.0,7.0,8.0,11.0,11.0,7.0,3.0,-6.0,-7.0
9970,nevada,1993,max ,2.0,4.0,12.0,15.0,22.0,24.0,28.0,29.0,26.0,18.0,9.0,6.0
9971,nevada,1993,mean ,-3.0,-1.0,7.0,8.0,14.0,16.0,19.0,20.0,17.0,11.0,2.0,-1.0
9984,nevada,1998,min ,-4.0,-4.0,-2.0,-1.0,3.0,7.0,14.0,13.0,9.0,1.0,-2.0,-8.0
9985,nevada,1998,max ,7.0,5.0,11.0,13.0,17.0,23.0,32.0,32.0,24.0,16.0,10.0,6.0
9986,nevada,1998,mean ,2.0,1.0,4.0,6.0,10.0,15.0,23.0,23.0,17.0,8.0,4.0,-1.0
9999,nevada,2003,min ,-2.0,-6.0,-1.0,0.0,6.0,11.0,16.0,14.0,9.0,4.0,-4.0,-5.0
10000,nevada,2003,max ,11.0,7.0,13.0,13.0,22.0,29.0,34.0,31.0,27.0,23.0,8.0,6.0
10001,nevada,2003,mean ,4.0,1.0,6.0,7.0,14.0,19.0,25.0,22.0,18.0,14.0,2.0,1.0
10014,nevada,2008,min ,-8.0,-5.0,-3.0,-1.0,4.0,9.0,14.0,13.0,8.0,2.0,0.0,-8.0
10015,nevada,2008,max ,3.0,7.0,12.0,16.0,20.0,28.0,33.0,32.0,27.0,19.0,13.0,5.0
10016,nevada,2008,mean ,-3.0,1.0,4.0,7.0,12.0,18.0,23.0,23.0,17.0,11.0,7.0,-1.0
10029,nevada,2013,min ,-10.0,-6.0,-1.0,1.0,5.0,11.0,16.0,13.0,9.0,1.0,-2.0,-9.0
10030,nevada,2013,max ,3.0,7.0,14.0,17.0,22.0,29.0,33.0,31.0,24.0,17.0,12.0,4.0
10031,nevada,2013,mean ,-3.0,1.0,7.0,9.0,13.0,20.0,24.0,22.0,17.0,9.0,5.0,-2.0
10044,nevada,2018,min ,-3.0,-6.0,-3.0,2.0,7.0,11.0,16.0,14.0,9.0,3.0,-3.0,-6.0
10045,nevada,2018,max ,9.0,8.0,11.0,18.0,22.0,29.0,33.0,32.0,28.0,17.0,11.0,5.0
10046,nevada,2018,mean ,3.0,1.0,4.0,10.0,14.0,19.0,25.0,23.0,18.0,10.0,4.0,0.0
10059,nevada,2023,min ,-7.0,-7.0,-5.0,0.0,6.0,9.0,15.0,13.0,8.0,3.0,,
10060,nevada,2023,max ,3.0,6.0,6.0,16.0,22.0,24.0,34.0,29.0,24.0,19.0,,
10061,nevada,2023,mean ,-2.0,-1.0,1.0,8.0,14.0,16.0,24.0,22.0,16.0,11.0,,
11085,new mexico,1978,min ,-6.0,-5.0,-1.0,2.0,6.0,12.0,15.0,13.0,10.0,4.0,1.0,-7.0
11086,new mexico,1978,max ,8.0,9.0,16.0,21.0,24.0,30.0,32.0,29.0,25.0,22.0,12.0,7.0
11087,new mexico,1978,mean ,1.0,2.0,7.0,12.0,15.0,21.0,23.0,21.0,17.0,13.0,6.0,-1.0
11100,new mexico,1983,min ,-6.0,-4.0,-1.0,-1.0,4.0,9.0,14.0,14.0,12.0,5.0,-1.0,-7.0
11101,new mexico,1983,max ,8.0,10.0,13.0,16.0,23.0,28.0,31.0,30.0,28.0,20.0,13.0,8.0
11102,new mexico,1983,mean ,1.0,3.0,6.0,7.0,14.0,19.0,23.0,22.0,19.0,13.0,6.0,1.0
11115,new mexico,1988,min ,-8.0,-4.0,-4.0,1.0,6.0,12.0,14.0,14.0,8.0,4.0,-2.0,-7.0
11116,new mexico,1988,max ,7.0,12.0,16.0,19.0,24.0,29.0,30.0,28.0,25.0,23.0,15.0,8.0
11117,new mexico,1988,mean ,-1.0,4.0,6.0,11.0,15.0,21.0,22.0,21.0,17.0,13.0,6.0,1.0
11130,new mexico,1993,min ,-4.0,-4.0,-2.0,2.0,7.0,11.0,14.0,14.0,8.0,3.0,-4.0,-7.0
11131,new mexico,1993,max ,8.0,10.0,16.0,20.0,24.0,30.0,31.0,28.0,26.0,20.0,12.0,10.0
11132,new mexico,1993,mean ,2.0,3.0,7.0,11.0,16.0,21.0,23.0,21.0,17.0,11.0,4.0,2.0
11145,new mexico,1998,min ,-5.0,-4.0,-2.0,0.0,6.0,11.0,16.0,14.0,12.0,5.0,-1.0,-6.0
11146,new mexico,1998,max ,11.0,9.0,14.0,18.0,26.0,31.0,31.0,29.0,29.0,21.0,16.0,11.0
11147,new mexico,1998,mean ,3.0,3.0,6.0,9.0,16.0,21.0,23.0,22.0,20.0,13.0,7.0,2.0
11160,new mexico,2003,min ,-4.0,-4.0,-2.0,2.0,8.0,11.0,16.0,15.0,10.0,6.0,-1.0,-6.0
11161,new mexico,2003,max ,13.0,11.0,16.0,21.0,27.0,29.0,34.0,31.0,27.0,23.0,14.0,11.0
11162,new mexico,2003,mean ,4.0,3.0,7.0,11.0,17.0,21.0,24.0,23.0,19.0,14.0,7.0,2.0
11175,new mexico,2008,min ,-8.0,-4.0,-2.0,1.0,6.0,12.0,15.0,14.0,9.0,3.0,-2.0,-5.0
11176,new mexico,2008,max ,8.0,12.0,16.0,21.0,25.0,32.0,29.0,29.0,26.0,22.0,16.0,10.0
11177,new mexico,2008,mean ,0.0,4.0,7.0,11.0,16.0,22.0,22.0,22.0,17.0,12.0,7.0,2.0
11190,new mexico,2013,min ,-8.0,-6.0,-2.0,2.0,7.0,13.0,16.0,14.0,12.0,2.0,-2.0,-6.0
11191,new mexico,2013,max ,8.0,11.0,17.0,21.0,26.0,33.0,30.0,30.0,26.0,20.0,13.0,9.0
11192,new mexico,2013,mean ,0.0,2.0,8.0,11.0,16.0,23.0,23.0,22.0,19.0,11.0,6.0,1.0
11205,new mexico,2018,min ,-7.0,-3.0,-1.0,3.0,8.0,14.0,16.0,14.0,11.0,6.0,-3.0,-5.0
11206,new mexico,2018,max ,12.0,13.0,17.0,22.0,28.0,33.0,32.0,31.0,27.0,18.0,13.0,9.0
11207,new mexico,2018,mean ,3.0,5.0,8.0,13.0,18.0,23.0,24.0,23.0,19.0,12.0,5.0,2.0
11220,new mexico,2023,min ,-6.0,-6.0,-1.0,1.0,8.0,12.0,17.0,16.0,12.0,5.0,,
11221,new mexico,2023,max ,9.0,11.0,14.0,21.0,26.0,30.0,34.0,32.0,29.0,23.0,,
11222,new mexico,2023,mean ,2.0,3.0,7.0,11.0,17.0,21.0,26.0,24.0,20.0,14.0,,
11472,new york,1978,min ,-13.0,-17.0,-9.0,-2.0,7.0,10.0,13.0,13.0,7.0,2.0,-3.0,-8.0
11473,new york,1978,max ,-4.0,-5.0,2.0,10.0,19.0,23.0,26.0,25.0,20.0,13.0,8.0,1.0
11474,new york,1978,mean ,-9.0,-11.0,-3.0,4.0,13.0,17.0,19.0,19.0,13.0,8.0,2.0,-4.0
11487,new york,1983,min ,-10.0,-9.0,-3.0,1.0,5.0,11.0,14.0,13.0,9.0,3.0,-2.0,-10.0
11488,new york,1983,max ,-1.0,1.0,6.0,10.0,17.0,25.0,28.0,26.0,23.0,14.0,7.0,-2.0
11489,new york,1983,mean ,-6.0,-4.0,1.0,5.0,11.0,18.0,21.0,19.0,16.0,9.0,3.0,-6.0
11502,new york,1988,min ,-13.0,-12.0,-7.0,1.0,7.0,9.0,15.0,14.0,8.0,2.0,-1.0,-9.0
11503,new york,1988,max ,-2.0,-1.0,6.0,11.0,20.0,23.0,28.0,26.0,20.0,11.0,8.0,1.0
11504,new york,1988,mean ,-7.0,-6.0,-1.0,6.0,13.0,16.0,22.0,21.0,14.0,6.0,4.0,-4.0
11517,new york,1993,min ,-9.0,-16.0,-8.0,1.0,6.0,11.0,14.0,13.0,9.0,2.0,-3.0,-9.0
11518,new york,1993,max ,0.0,-3.0,3.0,12.0,19.0,23.0,27.0,26.0,19.0,13.0,7.0,0.0
11519,new york,1993,mean ,-4.0,-10.0,-3.0,7.0,13.0,17.0,21.0,19.0,14.0,7.0,2.0,-4.0
11532,new york,1998,min ,-7.0,-6.0,-4.0,1.0,9.0,12.0,14.0,14.0,10.0,4.0,-1.0,-5.0
11533,new york,1998,max ,2.0,3.0,6.0,14.0,22.0,23.0,26.0,26.0,22.0,14.0,7.0,6.0
11534,new york,1998,mean ,-3.0,-1.0,1.0,8.0,16.0,17.0,19.0,20.0,16.0,9.0,3.0,0.0
11547,new york,2003,min ,-14.0,-13.0,-7.0,-1.0,6.0,11.0,14.0,15.0,10.0,2.0,-1.0,-7.0
11548,new york,2003,max ,-5.0,-3.0,6.0,11.0,18.0,22.0,26.0,26.0,21.0,13.0,9.0,2.0
11549,new york,2003,mean ,-10.0,-8.0,-1.0,5.0,12.0,17.0,20.0,21.0,16.0,8.0,4.0,-3.0
11562,new york,2008,min ,-8.0,-10.0,-7.0,2.0,4.0,13.0,14.0,12.0,10.0,2.0,-2.0,-8.0
11563,new york,2008,max ,1.0,0.0,4.0,16.0,17.0,25.0,26.0,24.0,22.0,14.0,6.0,2.0
11564,new york,2008,mean ,-4.0,-5.0,-2.0,9.0,11.0,19.0,21.0,18.0,16.0,8.0,2.0,-3.0
11577,new york,2013,min ,-9.0,-9.0,-6.0,0.0,7.0,12.0,16.0,13.0,8.0,4.0,-4.0,-8.0
